Latitude,Longitude,Altitude
-12.07471964,-76.94707783,244.893
-12.07473311,-76.94713192,244.793
-12.07474519,-76.94717889,244.793
-12.07475936,-76.94724092,244.893
-12.07476628,-76.94727153,244.893
-12.07482261,-76.94725536,244.793
-12.07481425,-76.94721653,244.993
-12.07480097,-76.94716061,244.993
-12.07479308,-76.94712722,245.093
-12.07477847,-76.94706617,244.993
-12.07476461,-76.94700428,244.993
-12.07475347,-76.94695778,244.893
-12.07474136,-76.94690717,244.793
-12.07472669,-76.94684894,244.893
-12.07471597,-76.94680131,244.793
-12.07470528,-76.94675231,244.793
-12.07467492,-76.94662594,244.793
-12.07466408,-76.94658086,244.893
-12.07465033,-76.94652142,244.893
-12.07463653,-76.94646322,244.893
-12.07462497,-76.9464145,244.793
-12.07461297,-76.94636206,244.693
-12.07459939,-76.9463055,244.793
-12.07458183,-76.94623239,244.793
-12.07457617,-76.946209,244.793
-12.07463811,-76.94620922,244.693
-12.07464844,-76.94624656,244.693
-12.07466039,-76.94630189,244.793
-12.07467222,-76.94635136,244.793
-12.07468617,-76.94640528,244.693
-12.07469897,-76.94645883,244.793
-12.07471086,-76.94650828,244.693
-12.07472514,-76.94656608,244.793
-12.07473686,-76.94661786,244.793
-12.07476914,-76.94675225,244.793
-12.07477522,-76.946779,244.793
-12.07478933,-76.94683697,244.793
-12.07480622,-76.94690736,244.693
-12.07481278,-76.94693622,244.793
-12.07482661,-76.94699419,244.793
-12.07483783,-76.94704181,244.793
-12.07485306,-76.94710192,244.893
-12.07486564,-76.94715417,244.893
-12.07488233,-76.94722503,244.793
-12.07489153,-76.94726308,244.793
-12.07495178,-76.94724467,244.893
-12.0749375,-76.94717908,244.993
-12.07492769,-76.94713775,244.993
-12.07491633,-76.94709175,244.893
-12.07490289,-76.94703361,244.893
-12.07489108,-76.94698706,244.993
-12.07487967,-76.94693625,244.893
-12.07486703,-76.94688342,244.893
-12.07485119,-76.94681575,244.893
-12.07484058,-76.94677231,244.893
-12.07482606,-76.94671528,244.893
-12.07479897,-76.94660031,244.893
-12.07478756,-76.94654869,244.893
-12.07477453,-76.94649658,244.893
-12.07475567,-76.94642006,244.893
-12.07474686,-76.94638078,244.993
-12.07473578,-76.94633667,244.893
-12.07472314,-76.94628311,244.793
-12.07471097,-76.9462305,244.793
-12.07469344,-76.94616,244.893
-12.07475758,-76.94616236,244.793
-12.0747845,-76.94626711,244.693
-12.07479711,-76.94631808,244.893
-12.07481086,-76.94637611,244.693
-12.07482331,-76.94642967,244.693
-12.07484067,-76.94650247,244.793
-12.07484858,-76.94653503,244.693
-12.07486208,-76.94659172,244.793
-12.07489086,-76.94671097,244.893
-12.07489892,-76.94674697,244.793
-12.07491208,-76.94680022,244.793
-12.07492539,-76.94685367,244.793
-12.07493875,-76.94691203,244.793
-12.07495017,-76.94696339,244.893
-12.07496211,-76.94701086,244.893
-12.07497431,-76.94706128,244.793
-12.07498811,-76.94712169,244.693
-12.07500044,-76.94717344,244.793
-12.07501303,-76.94722544,244.793
