Filename,Latitude,Longitude,Altitude
DJI_0266.JPG,-12.074719638888888,-76.94707783333334,244.893
DJI_0267.JPG,-12.074733111111112,-76.94713191666668,244.793
DJI_0268.JPG,-12.074745194444445,-76.9471788888889,244.793
DJI_0269.JPG,-12.074759361111111,-76.94724091666667,244.893
DJI_0270.JPG,-12.074766277777778,-76.94727152777779,244.893
DJI_0271.JPG,-12.074822611111111,-76.94725536111112,244.793
DJI_0272.JPG,-12.07481425,-76.94721652777778,244.993
DJI_0273.JPG,-12.074800972222222,-76.94716061111112,244.993
DJI_0274.JPG,-12.074793083333333,-76.94712722222222,245.093
DJI_0275.JPG,-12.074778472222222,-76.94706616666667,244.993
DJI_0276.JPG,-12.07476461111111,-76.94700427777778,244.993
DJI_0277.JPG,-12.074753472222222,-76.94695777777778,244.893
DJI_0278.JPG,-12.07474136111111,-76.94690716666668,244.793
DJI_0279.JPG,-12.074726694444443,-76.94684894444445,244.893
DJI_0280.JPG,-12.074715972222222,-76.94680130555555,244.793
DJI_0281.JPG,-12.074705277777777,-76.94675230555556,244.793
DJI_0282.JPG,-12.074674916666666,-76.94662594444445,244.793
DJI_0283.JPG,-12.074664083333333,-76.94658086111112,244.893
DJI_0284.JPG,-12.074650333333333,-76.94652141666667,244.893
DJI_0285.JPG,-12.074636527777777,-76.94646322222222,244.893
DJI_0286.JPG,-12.074624972222223,-76.9464145,244.793
DJI_0287.JPG,-12.074612972222223,-76.94636205555555,244.693
DJI_0288.JPG,-12.074599388888888,-76.94630550000001,244.793
DJI_0289.JPG,-12.074581833333333,-76.94623238888889,244.793
DJI_0290.JPG,-12.074576166666667,-76.94620900000001,244.793
DJI_0291.JPG,-12.074638111111112,-76.94620922222222,244.693
DJI_0292.JPG,-12.074648444444444,-76.94624655555556,244.693
DJI_0293.JPG,-12.074660388888889,-76.9463018888889,244.793
DJI_0294.JPG,-12.074672222222222,-76.94635136111111,244.793
DJI_0295.JPG,-12.074686166666666,-76.94640527777779,244.693
DJI_0296.JPG,-12.074698972222222,-76.94645883333334,244.793
DJI_0297.JPG,-12.074710861111111,-76.94650827777778,244.693
DJI_0298.JPG,-12.074725138888889,-76.94656608333334,244.793
DJI_0299.JPG,-12.074736861111111,-76.94661786111112,244.793
DJI_0300.JPG,-12.074769138888888,-76.94675225,244.793
DJI_0301.JPG,-12.074775222222222,-76.946779,244.793
DJI_0302.JPG,-12.074789333333333,-76.94683697222223,244.793
DJI_0303.JPG,-12.074806222222222,-76.94690736111112,244.693
DJI_0304.JPG,-12.074812777777778,-76.94693622222222,244.793
DJI_0305.JPG,-12.07482661111111,-76.94699419444444,244.793
DJI_0306.JPG,-12.074837833333333,-76.94704180555556,244.793
DJI_0307.JPG,-12.074853055555556,-76.94710191666667,244.893
DJI_0308.JPG,-12.07486563888889,-76.94715416666666,244.893
DJI_0309.JPG,-12.074882333333333,-76.94722502777778,244.793
DJI_0310.JPG,-12.074891527777778,-76.94726308333334,244.793
DJI_0311.JPG,-12.074951777777777,-76.94724466666668,244.893
DJI_0312.JPG,-12.074937499999999,-76.94717908333334,244.993
DJI_0313.JPG,-12.074927694444444,-76.94713775000001,244.993
DJI_0314.JPG,-12.074916333333332,-76.94709175,244.893
DJI_0315.JPG,-12.07490288888889,-76.94703361111111,244.893
DJI_0316.JPG,-12.074891083333332,-76.94698705555555,244.993
DJI_0317.JPG,-12.074879666666666,-76.94693625000001,244.893
DJI_0318.JPG,-12.074867027777778,-76.94688341666667,244.893
DJI_0319.JPG,-12.074851194444443,-76.94681575,244.893
DJI_0320.JPG,-12.074840583333334,-76.94677230555556,244.893
DJI_0321.JPG,-12.074826055555555,-76.94671527777778,244.893
DJI_0322.JPG,-12.074798972222222,-76.94660030555556,244.893
DJI_0323.JPG,-12.074787555555556,-76.94654869444445,244.893
DJI_0324.JPG,-12.074774527777777,-76.94649658333334,244.893
DJI_0325.JPG,-12.074755666666666,-76.94642005555556,244.893
DJI_0326.JPG,-12.07474686111111,-76.94638077777778,244.993
DJI_0327.JPG,-12.074735777777777,-76.94633666666667,244.893
DJI_0328.JPG,-12.074723138888888,-76.94628311111111,244.793
DJI_0329.JPG,-12.074710972222222,-76.9462305,244.793
DJI_0330.JPG,-12.074693444444444,-76.94616,244.893
DJI_0331.JPG,-12.074757583333334,-76.94616236111112,244.793
DJI_0332.JPG,-12.0747845,-76.94626711111111,244.693
DJI_0333.JPG,-12.074797111111112,-76.94631808333334,244.893
DJI_0334.JPG,-12.07481086111111,-76.94637611111112,244.693
DJI_0335.JPG,-12.074823305555554,-76.94642966666667,244.693
DJI_0336.JPG,-12.074840666666667,-76.94650247222222,244.793
DJI_0337.JPG,-12.074848583333333,-76.94653502777778,244.693
DJI_0338.JPG,-12.074862083333333,-76.94659172222222,244.793
DJI_0339.JPG,-12.074890861111111,-76.94671097222222,244.893
DJI_0340.JPG,-12.074898916666667,-76.94674697222223,244.793
DJI_0341.JPG,-12.074912083333333,-76.94680022222222,244.793
DJI_0342.JPG,-12.07492538888889,-76.94685366666667,244.793
DJI_0343.JPG,-12.07493875,-76.94691202777778,244.793
DJI_0344.JPG,-12.074950166666666,-76.94696338888889,244.893
DJI_0345.JPG,-12.07496211111111,-76.94701086111111,244.893
DJI_0346.JPG,-12.074974305555555,-76.94706127777778,244.793
DJI_0347.JPG,-12.07498811111111,-76.94712169444445,244.693
DJI_0348.JPG,-12.075000444444445,-76.94717344444445,244.793
DJI_0349.JPG,-12.075013027777777,-76.94722544444444,244.793
